分类,原始流派名称,当前代码翻译流派名称,建议优化翻译流派名称,优化建议,人工确认
电影,痴漢,性骚扰,,,
电影,その他,其他,,,
电影,脚フェチ,恋腿癖,,,
电影,盗撮・のぞき,偷窥,,,
电影,淫乱・ハード系,花痴,,,
电影,ゲイ・ホモ,男同性恋,,,
电影,カップル,情侣,,,
电影,巨乳フェチ,恋乳癖,,,
电影,近親相姦,乱伦,,,
电影,その他フェチ,其他恋物癖,,,
电影,アイドル・芸能人,偶像艺人,,,
电影,野外・露出,野外・露出,,,
电影,ナンパ,猎艳,,,
电影,レズ,女同性恋,,,
电影,企画,企画,,,
电影,10枚組,10枚组,,,
电影,SF,科幻,,,
电影,女優ベスト・総集編,最佳女演员/合集,,,
电影,温泉,温泉,,,
电影,M男,受虐狂,,,
电影,原作コラボ,与原创作品合作,,,
电影,16時間以上作品,16时间以上作品,,,
电影,デカチン・巨根,巨根,,,
电影,ファン感謝・訪問,粉丝答谢/探访,,,
电影,動画,动画,,,
电影,巨尻,大屁股,,,
电影,ハーレム,后宫,,,
电影,日焼け,日光浴,,,
电影,早漏,早泄,,,
电影,キス・接吻,接吻,,,
电影,汗だく,汗流浃背,,,
电影,スマホ専用縦動画,智能手机竖屏动画,竖屏视频,`動画/video`应译为`视频`，不是`动画`。,否
电影,Vシネマ,影碟首发电影,,,
电影,Don Cipote's choice,唐·西波特的精选,,,
电影,アニメ,动漫,,,
电影,アクション,动作,,,
电影,イメージビデオ（男性）,男性形象视频,,,
电影,孕ませ,怀孕,,,
电影,ボーイズラブ,耽美,,,
电影,ビッチ,婊子,,,
电影,特典あり（AVベースボール）,附赠特典（AV）,,,
电影,コミック雑誌,漫画杂志:,,,
电影,時間停止,时间停止,,,
电影,極道・任侠,黑帮成员,,,
电影,幼なじみ,童年朋友,,,
电影,お姫様,公主,,,
电影,アジア女優,亚洲女演员,,,
电影,コンパニオン,伴侣,,,
电影,インストラクター,讲师,,,
电影,義母,婆婆,继母/义母,日文義母多指继母；当前`婆婆`过窄且经常错。,是
电影,アクション・格闘,格斗家,,,
电影,女捜査官,女检察官,,,
电影,そっくりさん,明星脸,,,
电影,女将・女主人,女主人、女老板,,,
电影,モデル,模特儿,,,
电影,秘書,秘书,,,
电影,美少女,美少女,,,
电影,花嫁・若妻,新娘、年轻妻子,,,
电影,お姉さん,成熟的女人,轻熟女/姐姐,当前链式最终值`成熟的女人`年龄感过重，会改变标签含义。,是
电影,格闘家,格斗家,,,
电影,バスガイド,车掌小姐,,,
电影,未亡人,寡妇,,,
电影,お嬢様・令嬢,年轻女士,,,
电影,白人女優,白人,,,
电影,人妻,已婚妇女,,,
电影,女医,女医生,,,
电影,職業色々,各种职业,,,
电影,キャバ嬢・風俗嬢,妓女,,,
电影,レースクィーン,赛车女郎,,,
电影,女子大生,女大学生,,,
电影,キャンギャル,展场女孩,,,
电影,女教師,女教师,,,
电影,お母さん,母亲,,,
电影,家庭教師,家教,,,
电影,看護婦・ナース,护士,,,
电影,痴女,荡妇,,,
电影,黒人男優,黑人演员,,,
电影,ギャル,辣妹,,,
电影,女子アナ,女主播,,,
电影,女子校生,高中女生,,,
电影,ウェイトレス,服务生,,,
电影,魔法少女,魔法少女,,,
电影,学生（その他）,学生（其他）,,,
电影,アニメキャラクター,动画人物,,,
电影,ゲーム実写版,游戏的真人版,,,
电影,変身ヒロイン,超级女英雄,,,
电影,女戦士,女战士,,,
电影,ニーソックス,及膝袜,,,
电影,ドール,娃娃,,,
电影,くノ一,女忍者,,,
电影,女装・男の娘,女装人妖,,,
电影,パンチラ,内衣,走光/内裤走光,当前`内衣`过宽，源词强调走光/窥见。,是
电影,着エロ,猥亵穿着,,,
电影,バニーガール,兔女郎,,,
电影,ネコミミ・獣系,猫耳女,,,
电影,巫女,女祭司,,,
电影,ルーズソックス,泡泡袜,,,
电影,制服,制服,,,
电影,レオタード,紧身衣,,,
电影,裸エプロン,裸体围裙,,,
电影,ミニスカポリス,迷你裙警察,,,
电影,スチュワーデス,空中小姐,,,
电影,パンスト,连裤袜,,,
电影,ボディコン,身体意识,紧身裙,当前`身体意识`是明显机翻，不像媒体标签。,否
电影,OL,OL,,,
电影,和服・浴衣,和服・丧服,和服/浴衣,`浴衣`被错译成`丧服`。,否
电影,体操着・ブルマ,体育服,,,
电影,ランジェリー,内衣,,,
电影,セーラー服,水手服,,,
电影,競泳・スクール水着,学校泳装,,,
电影,チャイナドレス,旗袍,,,
电影,メイド,女佣,,,
电影,ミニスカ,迷你裙,,,
电影,学生服,校服,,,
电影,水着,泳装,,,
电影,めがね,眼镜,,,
电影,コスプレ,角色扮演,,,
电影,ゴシックロリータ,哥德萝莉,,,
电影,超乳,超乳,,,
电影,筋肉,肌肉,,,
电影,美乳,美胸,,,
电影,ミニ系・小柄,娇小的,,,
电影,尻フェチ,屁股,,,
电影,長身,高挑,,,
电影,ニューハーフ,变性者,,,
电影,パイパン,剃毛,,,
电影,ぽっちゃり,丰满,,,
电影,スレンダー,苗条,,,
电影,妊婦,孕妇,,,
电影,熟女,成熟的女人,,,
电影,ロリ系,萝莉塔,,,
电影,貧乳・微乳,小胸,,,
电影,巨乳,巨乳,,,
电影,顔面騎乗,顏面骑乘,,,
电影,食糞,食粪,,,
电影,足コキ,足交,,,
电影,母乳,母乳,,,
电影,指マン,手指插入,,,
电影,マッサージ,按摩,,,
电影,騎乗位,女上位,,,
电影,クンニ,舔阴,,,
电影,フィスト,拳交,,,
电影,イラマチオ,深喉,,,
电影,シックスナイン,69,,,
电影,淫語,淫语,,,
电影,潮吹き,潮吹,,,
电影,パイズリ,乳交,,,
电影,脱糞,排便,,,
电影,飲尿,饮尿,,,
电影,フェラ,口交,,,
电影,乱交,滥交,,,
电影,放尿,放尿,,,
电影,手コキ,打手枪,,,
电影,ごっくん,吞精,,,
电影,アナル,肛交,,,
电影,ぶっかけ,顏射,,,
电影,オナニー,自慰,,,
电影,顔射,顏射,,,
电影,中出し,中出,,,
电影,アナルセックス,肛内中出,,,
电影,即ハメ,立即口交,立即性爱,当前`立即口交`改变了行为类型，误导性强。,是
电影,電マ,女优按摩棒,电动按摩棒,当前多加了`女优`，语义不对。,否
电影,ポルチオ,子宫颈,,,
电影,催眠・洗脳,催眠,,,
电影,ローション,乳液,,,
电影,羞恥,羞耻,,,
电影,辱め,羞辱,,,
电影,拘束,拘束,,,
电影,輪姦,轮奸,,,
电影,異物挿入,插入异物,,,
电影,クスコ,鸭嘴,,,
电影,浣腸,灌肠,,,
电影,監禁,监禁,,,
电影,縛り・緊縛,紧缚,,,
电影,強姦,强奸,,,
电影,ドラッグ,药物,,,
电影,カーセックス,汽车性爱,,,
电影,SM,SM,,,
电影,スカトロ,粪便,,,
电影,おもちゃ,玩具,,,
电影,ローター,跳蛋,,,
电影,ボンテージ,紧缚,,,
电影,バイブ,按摩棒,,,
电影,3P・4P,多P,,,
电影,エロス,情色,,,
电影,ディルド,女儿,假阳具,当前`女儿`是明显误译。,否
电影,逆レイプ,反向强奸,,,
电影,コラボ作品,合作作品,,,
电影,ホラー,恐怖,,,
电影,女性向け,给女性观众,,,
电影,How To,教学,,,
电影,DMM配信限定,DMM专属,,,
电影,R-15,R-15,,,
电影,R-18,R-18,,,
电影,3D,3D,,,
电影,特撮,特效,,,
电影,複数話,故事集,,,
电影,期間限定セール,限时降价,,,
电影,復刻,复刻版,,,
电影,ドラマ,戏剧,,,
电影,恋愛,恋爱,,,
电影,ハイビジョン,高画质,,,
电影,主観,主观视角,,,
电影,イメージビデオ,介绍影片,,,
电影,4時間以上作品,4小时以上作品,,,
电影,ギリモザ,薄马赛克,,,
电影,クラシック,经典,,,
电影,デビュー作品,首次亮相,,,
电影,デジモ,数位马赛克,,,
电影,投稿,投稿,,,
电影,ドキュメンタリー,纪录片,,,
电影,洋ピン・海外輸入,国外进口,,,
电影,ハメ撮り,第一视角,,,
电影,素人,业余,,,
电影,局部アップ,局部特写,,,
电影,インディーズ,独立影片,,,
电影,独占配信,DMM独家,,,
电影,単体作品,单体作品,,,
电影,ベスト・総集編,合集,,,
电影,高解像度,高清,,,
电影,字幕,字幕,,,
电影,パラダイスTV,天堂TV,,,
电影,DVDトースター,DVD多士炉,,,
电影,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,,,
电影,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー级,,,
电影,AV OPEN 2014 ミドル級,AV OPEN 2014 ミド儿级,2014 AV大赏中量级作品,当前中日文混用且机翻。,否
电影,AV OPEN 2015 マニア/フェチ部門,AV OPEN 2015 マニア/フェチ部门,,,
电影,AV OPEN 2015 熟女部門,AV OPEN 2015 熟女部门,,,
电影,AV OPEN 2015 企画部門,AV OPEN 2015 企画部门,,,
电影,AV OPEN 2015 乙女部門,AV OPEN 2015 乙女部门,,,
电影,AV OPEN 2015 素人部門,AV OPEN 2015 素人部门,,,
电影,AV OPEN 2015 SM/ハード部門,AV OPEN 2015 SM/ハード部门,,,
电影,AV OPEN 2015 女優部門,AV OPEN 2015 女优部门,,,
电影,AVOPEN2016人妻・熟女部門,AVOPEN2016人妻・熟女部门,,,
电影,AVOPEN2016企画部門,AVOPEN2016企画部门,,,
电影,AVOPEN2016ハード部門,AVOPEN2016ハード部门,,,
电影,AVOPEN2016マニア・フェチ部門,AVOPEN2016マニア・フェチ部门,,,
电影,AVOPEN2016乙女部門,AVOPEN2016乙女部门,,,
电影,AVOPEN2016女優部門,AVOPEN2016女优部门,,,
电影,AVOPEN2016ドラマ・ドキュメンタリー部門,AVOPEN2016ドラマ・ドキュメンタリー部门,,,
电影,AVOPEN2016素人部門,AVOPEN2016素人部门,,,
电影,AVOPEN2016バラエティ部門,AVOPEN2016バラエティ部门,,,
电影,VR専用,VR专用,,,
电影,ギャグ・コメディ,堵嘴·喜剧,恶搞喜剧,`gag`在这里是笑料，不是堵嘴。,否
电影,ファンタジー,幻想,,,
电影,性転換・女体化,性别转型·女性化,,,
电影,スマホ推奨縦動画,為智能手机推荐垂直视频,竖屏视频,去掉繁体`為`，并简化表述。,否
电影,セット商品,设置项目,系列合集,当前像配置项，不像媒体标签。,否
电影,ミニ系,迷你,,,
电影,体験告白,体验忏悔,,,
电影,ダーク系,黑暗系统,,,
电影,オナサポ,自慰支持,,,
电影,アスリート,运动员,,,
电影,覆面・マスク,蒙面,,,
电影,ハイクオリティVR,高品质VR,,,
电影,ヘルス・ソープ,健康与肥皂店,风俗/泡泡浴,当前`健康与肥皂店`是明显直译。,是
电影,ホテル,酒店,,,
电影,アクメ・オーガズム,高潮,,,
电影,花嫁,新娘,,,
电影,デート,约会,,,
电影,軟体,柔软的身体,,,
电影,娘・養女,女儿与继女,,,
电影,スパンキング,打屁股,,,
电影,スワッピング・夫婦交換,交换伴侣与换夫,,,
电影,部下・同僚,下属与同事,,,
电影,旅行,旅行,,,
电影,胸チラ,露乳,,,
电影,バック,后入,,,
电影,男の潮吹き,男性喷水,,,
电影,女上司,女老板,,,
电影,受付嬢,接待员,,,
电影,ノーブラ,不穿胸罩,,,
电影,白目・失神,翻白眼与晕厥,,,
电影,M女,受虐狂女性,,,
电影,女王様,女虐待狂,,,
电影,ノーパン,不穿内裤,,,
电影,セレブ,名人,,,
电影,病院・クリニック,医院与诊所,,,
电影,面接,采访,,,
电影,お風呂,浴室,,,
电影,叔母さん,阿姨,,,
电影,罵倒,戏弄,辱骂/责骂,源词是言语辱骂，不是戏弄。,否
电影,お爺ちゃん,爷爷,,,
电影,ヨガ,瑜伽,,,
电影,飲み会・合コン,饮酒派对与集体约会,,,
电影,部活・マネージャー,俱乐部活动与经理,,,
电影,お婆ちゃん,奶奶,,,
电影,ビジネススーツ,职业套装,,,
电影,チアガール,啦啦队长,,,
电影,ママ友,妈妈朋友,,,
电影,エマニエル,艾曼纽,,,
电影,妄想族,妄想家庭,,,
电影,蝋燭,蜡烛,,,
电影,鼻フック,鼻钩,,,
电影,放置,放置,,,
电影,サンプル動画,样品动画,,,
电影,サイコ・スリラー,心理惊悚,,,
电影,ラブコメ,浪漫喜剧,,,
电影,オタク,宅男宅女,,,
电影,4K,4K,,,
电影,福袋,福袋,,,
电影,玩具責め,玩具虐待,,,
电影,女優,女演员,,,
电影,お掃除フェラ,清洁口交,,,
电影,筆おろし,铅笔羞辱,初体验,当前`铅笔羞辱`是明显误译。,是
电影,美脚,美腿,,,
电影,美尻,美臀,,,
电影,フェチ,恋物癖,,,
电影,羞恥プレイ,羞耻游戏,,,
电影,逆ナンパ,反向搭讪,,,
电影,着衣,着装,,,
电影,誘惑,诱惑,,,
电影,チラリズム,躲猫猫,若隐若现/走光,当前`躲猫猫`是明显误译。,是
电影,写真集,写真集,,,
电影,書籍版,书籍版,,,
电影,SM拘束,SM束缚,,,
电影,ドキュメント,纪录片,,,
电影,グッズ,周边,,,
电影,Tシャツ,T恤,,,
电影,失禁,失禁,,,
电影,オナホール,飞机杯,,,
电影,カップホール,杯洞,,,
电影,非貫通,禁止交流,非实质插入,当前`禁止交流`是明显误译。,否
电影,ローション付き,含润滑液,,,
电影,配信専用,仅限流媒体播放,,,
电影,官能小説,情色小说,,,
电影,CD,CD,,,
电影,生挿入,无套插入,,,
电影,風俗,卖淫,,,
电影,外国人,外国人,,,
电影,淫語責め,污言秽语,,,
电影,アナルファック,肛交,,,
电影,脚コキ,足交,,,
电影,オイルプレイ,油浴游戏,,,
电影,キャバ嬢,家庭主妇,陪酒女,当前`家庭主妇`是明显误译，且与 Housewife 冲突。,是
电影,調教,调教,,,
电影,ローション・オイル,润肤露/油,,,
电影,媚薬,催情剂,,,
电影,顔面騎乗位,女上位颜射,,,
电影,微乳,小胸,,,
电影,デカチン,巨根,,,
电影,3P、4P,3P、4P,,,
电影,野外,户外,,,
电影,露出,暴露癖,,,
电影,レイプ,强奸,,,
电影,ベスト、総集編,最佳女演员/合集,,,
电影,マジックミラー号,魔镜面包车,,,
电影,看護師,护士,,,
电影,アイドル,偶像艺人,,,
电影,妹,妹妹,,,
电影,スクール水着,学校泳装,,,
电影,デリヘル,送货服务,,,
电影,凌辱,羞辱,,,
电影,童貞モノ,处女,,,
电影,ブルマ,丑陋,运动短裤/灯笼裤,当前`丑陋`是明显误译。,是
电影,ホテヘル,酒店,,,
电影,縛り,捆绑,,,
电影,ロリータ,洛丽塔,,,
电影,ミニスカート,迷你裙,,,
电影,尻,屁股,,,
电影,奴隷,奴隶,,,
电影,芸能人,艺能人,,,
电影,下着,内衣,,,
电影,母親,母亲,,,
电影,湯,浴室,,,
电影,教師,教师,,,
电影,ストッキング,街头性爱,长筒袜/丝袜,当前`街头性爱`是明显误译。,否
电影,電車、バス,电车、公交车,,,
电影,健康診断,健康检查,,,
电影,野球拳,野球拳,,,
电影,浴衣,浴衣,,,
电影,爆乳,巨乳,,,
电影,ソープ,泡泡浴,,,
电影,スワッピング,换妻俱乐部,,,
电影,メガネ,眼镜,,,
电影,素股,素股,,,
电影,ドリンク,饮料,,,
电影,フルハイビジョン(FHD),高清,,,
电影,三十路,30多岁,,,
电影,羞恥・辱め,羞耻/羞辱,,,
电影,パンチラモノ,裙底偷拍,,,
电影,放尿・失禁,小便/尿失禁,,,
电影,五十路,50多岁,,,
电影,ショートヘアー,短发,,,
电影,着物・浴衣,和服/浴衣,,,
电影,清楚,干净,清纯,`清纯`更符合标签语境。,否
电影,四十路,40多岁,,,
电影,VR,VR,,,
电影,オモチャ,玩具,,,
电影,エステ・マッサージ,美容院/按摩,,,
电影,Gカップ,G罩杯,,,
电影,目隠し,蒙眼,,,
电影,ドラッグ・媚薬,药物/催情剂,,,
电影,六十路,60多岁,,,
电影,淫語モノ,污言秽语,,,
电影,口内発射,口交,口内射精,当前`口交`过宽。,否
电影,童顔,娃娃脸,,,
电影,スチュワーデス・CA,空姐/CA,,,
电影,Dカップ,D罩杯,,,
电影,美熟女,美丽成熟女性,,,
电影,MGSだけのおまけ映像付き,MGS独家花絮,,,
电影,手マン,手指爱抚,,,
电影,パンストモノ,丝袜,,,
电影,フェラモノ,口交,,,
电影,性教育,性教育,,,
电影,HowTo,教学,,,
电影,MGS限定特典映像,MGS独家花絮,,,
电影,寝取り･寝取られ,绿帽/戴绿帽,,,
电影,Eカップ,E罩杯,,,
电影,Fカップ,F罩杯,,,
电影,ロングヘアー,长发,,,
电影,黒髪,黑发,,,
电影,ショートヘア,短发,,,
电影,金髪,金发,,,
电影,茶髪,棕发,,,
电影,女子高生,高中女生,,,
电影,ハーフ,日裔混血,混血,不应限定为日裔。,否
电影,金髪・ブロンド,金发,,,
电影,初撮り,初次拍摄,,,
电影,介護,护理,,,
电影,Hカップ,H罩杯,,,
电影,期間限定販売,限时特惠,,,
电影,多人数,群交,,,
电影,風俗嬢,妓女,,,
电影,PICKUP素人,搭讪业余,,,
电影,オイル・ローション,油/乳液,,,
电影,8KVR,8K VR,,,
电影,プレステージ20周年特別企画,尊贵20周年特别版,,,
电影,口内射精,口交极致体验,口内射精,当前`口交极致体验`过度润色。,否
电影,美女,美丽,美女,当前把名词变成形容词。,否
电影,MGSだけの特典映像付,MGS独家花絮,,,
电影,色白,白皙肌肤,,,
电影,総集編・ベスト,合集/精选,,,
电影,近●相●,乱伦,,,
电影,ハイビジョン(HD),高清 (HD),,,
电影,配信専用素人,仅限流媒体播放的业余作品,,,
电影,台湾モデル,台湾模特,,,
电影,ショートカット,短发,,,
电影,小柄,娇小,,,
电影,くびれ,沙漏型身材,,,
电影,ミディアムヘアー,中长发,,,
电影,AI生成作品,AI生成作品,,,
电影,個人撮影,个人撮影,个人拍摄,当前中日文混用。,否
电影,Torture,折磨,,,
电影,Vomit,呕吐,,,
电影,Tentacle,触手,,,
电影,TSUNDERE,蛮横娇羞,,,
电影,Cherry Boy,处男,,,
电影,Shotacon,正太控,,,
电影,Cheating Wife,绿帽/戴绿帽,,,
电影,Tickling,瘙痒,,,
电影,Sports,运动,,,
电影,Lesbian Kissing,女同接吻,,,
电影,Sexy,性感,,,
电影,Massage Parlor,美容院,,,
电影,Virgin,处女,,,
电影,Drunk Girl,烂醉如泥的,,,
电影,Cruelty,残忍画面,,,
电影,Daydream,妄想,,,
电影,Pranks,恶作剧,,,
电影,School,学校作品,,,
电影,Rough Sex,粗暴,,,
电影,Adultery,通奸,,,
电影,Older & Younger Sister,姐妹,,,
电影,Hermaphrodite,双性人,,,
电影,Dance,跳舞,,,
电影,Sex Slave,性奴,,,
电影,Reverse Pick Up,倒追,,,
电影,Molester,性骚扰,,,
电影,Others,其他,,,
电影,Foot Fetish,恋腿癖,,,
电影,Voyeur,偷窥,,,
电影,Nymphomaniac,花痴,,,
电影,Gay,男同性恋,,,
电影,Couple,情侣,,,
电影,Big Tits Lover,恋乳癖,,,
电影,Incest,乱伦,,,
电影,Other Fetishes,其他恋物癖,,,
电影,Idol & Celebrity,偶像艺人,,,
电影,Outdoor,野外・露出,,,
电影,Picking Up Girls,猎艳,,,
电影,Lesbian,女同性恋,,,
电影,Variety,企画,,,
电影,Ten Clips,10枚组,,,
电影,Sci-Fi,科幻,,,
电影,Actress Best Compilation,最佳女演员/合集,,,
电影,Hot Spring,温泉,,,
电影,Masochist Man,受虐狂,,,
电影,Original Collaboration,与原创作品合作,,,
电影,More Than 16 Hours Of Footage,16时间以上作品,,,
电影,Huge Dick - Large Dick,巨根,,,
电影,Fan Appreciation/ Home Visit,粉丝答谢/探访,,,
电影,Big Asses,大屁股,,,
电影,Suntan,日光浴,,,
电影,Premature Ejaculation,早泄,,,
电影,Kiss Kiss,接吻,,,
电影,Sweating,汗流浃背,,,
电影,Special Smartphone Vertical Video,智能手机竖屏动画,竖屏视频,`動画/video`应译为`视频`，不是`动画`。,否
电影,Pretty Boy,男性形象视频,,,
电影,BL,耽美,,,
电影,Time Freezing,时间停止,,,
电影,YAKUZA,黑帮成员,,,
电影,Childhood Friend,童年朋友,,,
电影,Princess,公主,,,
电影,Asian Actress,亚洲女演员,,,
电影,Hostess,伴侣,,,
电影,Instructor,讲师,,,
电影,Stepmom,婆婆,继母/义母,英文 Stepmom 指继母；当前`婆婆`过窄且经常错。,是
电影,Action & Fighting,格斗家,,,
电影,Female Detective,女检察官,,,
电影,Lookalike,明星脸,,,
电影,Housewife,女主人、女老板,,,
电影,Model,模特儿,,,
电影,Secretary,秘书,,,
电影,Beautiful Girl,美少女,,,
电影,Young Wife,新娘、年轻妻子,,,
电影,Older Sister,姐姐,,,
电影,Bus Tour Guide,车掌小姐,,,
电影,Widow,寡妇,,,
电影,Princess & Mademoiselle,千金小姐,,,
电影,Caucasian Actress,白人,,,
电影,Married Woman,已婚妇女,,,
电影,Female Doctor,女医生,,,
电影,Various Worker,各种职业,,,
电影,Club Hostess & Sex Worker,妓女,,,
电影,Race Queen,赛车女郎,,,
电影,College Girl,女大学生,,,
电影,Campaign Girl,展场女孩,,,
电影,Female Teacher,女教师,,,
电影,MILF,母亲,,,
电影,Private Tutor,家教,,,
电影,Nurse,护士,,,
电影,Slut,荡妇,,,
电影,Black Man,黑人演员,,,
电影,Gal,女生,,,
电影,Female Anchor,女主播,,,
电影,Schoolgirl,高中女生,,,
电影,Waitress,服务生,,,
电影,Magical Girl,魔法少女,,,
电影,Student (Other),学生（其他）,,,
电影,Anime Character,动画人物,,,
电影,Live Game Filming Edition,游戏的真人版,,,
电影,Super Heroine,超级女英雄,,,
电影,Female Soldier,女战士,,,
电影,Knee-High Socks,及膝袜,,,
电影,Doll,娃娃,,,
电影,Female Ninja,女忍者,,,
电影,Cross Dresser,女装人妖,,,
电影,Panty Shot,内衣,走光/内裤走光,当前`内衣`过宽，源词强调走光/窥见。,是
电影,Non-nude Erotica,猥亵穿着,,,
电影,Bunny Girl,兔女郎,,,
电影,Animal Ears,猫耳女,,,
电影,Priestess,女祭司,,,
电影,Loose Socks,泡泡袜,,,
电影,Uniform,制服,,,
电影,Leotards,紧身衣,,,
电影,Naked Apron,裸体围裙,,,
电影,Miniskirt Police,迷你裙警察,,,
电影,Stewardess,空中小姐,,,
电影,Pantyhose,连裤袜,,,
电影,Tight Dress,身体意识,紧身裙,当前`身体意识`是明显机翻，不像媒体标签。,否
电影,Office Lady,OL,,,
电影,KIMONO,和服・丧服,和服/浴衣,当前包含`丧服`，与源词不符。,否
电影,Gym Clothes,体育服,,,
电影,Lingerie,内衣,,,
电影,Sailor Uniform,水手服,,,
电影,School Swimsuits,学校泳装,,,
电影,Chinese Dress,旗袍,,,
电影,Maid,女佣,,,
电影,Miniskirt,迷你裙,,,
电影,School Uniform,校服,,,
电影,Swimsuits,泳装,,,
电影,Glasses,眼镜,,,
电影,Cosplay,角色扮演,,,
电影,GothLoli,哥德萝莉,,,
电影,Huge Tits,超乳,,,
电影,Muscular,肌肉,,,
电影,Beautiful Tits,乳房,,,
电影,Short & Petite,娇小的,,,
电影,Ass Lover,屁股,,,
电影,Tall Girl,高,高挑/高个子,当前翻译不完整。,是
电影,Transsexual,变性者,,,
电影,Shaved Pussy,无毛,,,
电影,Chubby,胖女人,丰满/微胖,语气更自然，并与`ぽっちゃり`一致。,是
电影,Slender,苗条,,,
电影,Pregnant,孕妇,,,
电影,Mature Woman,成熟的女人,,,
电影,Lolicon,萝莉塔,,,
电影,Small Tits,贫乳・微乳,贫乳/微乳,统一分隔符和简体中文。,否
电影,Big Tits,巨乳,,,
电影,Face Sitting,顏面骑乘,,,
电影,Scat,粪便,,,
电影,Footjob,足交,,,
电影,Breast Milk,母乳,,,
电影,Fingering,手指插入,,,
电影,Massage,按摩,,,
电影,Cowgirl,女上位,,,
电影,Cunnilingus,舔阴,,,
电影,Fisting,拳交,,,
电影,Deep Throat,深喉,,,
电影,69,69,,,
电影,Dirty Talk,淫语,,,
电影,Squirting,潮吹,,,
电影,Titty Fuck,乳交,,,
电影,Pooping,排便,,,
电影,Golden Shower,饮尿,,,
电影,Blowjob,口交,,,
电影,Orgy,滥交,,,
电影,Urination,放尿,,,
电影,Handjob,打手枪,,,
电影,Cum Swallowing,吞精,,,
电影,Anal,肛交,,,
电影,BUKKAKE,顏射,,,
电影,Masturbation,自慰,,,
电影,Facial,顏射,,,
电影,Creampie,中出,,,
电影,AF,肛内中出,,,
电影,Quickie,立即口交,立即性爱,当前`立即口交`改变了行为类型，误导性强。,是
电影,Big Vibrator,女优按摩棒,电动按摩棒,当前多加了`女优`，语义不对。,否
电影,G-Spot,子宫颈,G点,G-Spot 不是子宫颈。,否
电影,Hypnotism,催眠,,,
电影,Lotion,乳液,,,
电影,Shame,羞耻,,,
电影,Torture & Rape,羞辱,,,
电影,Tied Up,拘束,,,
电影,Gang Bang,轮奸,,,
电影,Object Insertion,插入异物,,,
电影,Gyno Exam,鸭嘴,,,
电影,Enema,灌肠,,,
电影,Confinement,监禁,,,
电影,Bondage,紧缚,,,
电影,Rape,强奸,,,
电影,Drugs,药物,,,
电影,Car Sex,汽车性爱,,,
电影,BDSM,SM,,,
电影,Sex Toys,玩具,,,
电影,Egg Vibrator,跳蛋,,,
电影,Vibrator,按摩棒,,,
电影,Threesome / Foursome,多P,,,
电影,Eros,性爱,,,
电影,Dildo,假阳具,,,
电影,Reverse Rape,逆强姦,逆强奸,直接使用简体最终值。,否
电影,Collaboration work,合作作品,,,
电影,Boys Love,给女性观众,,,
电影,DMM Exclusive,DMM独家,,,
电影,Restricted to Under ,R-18,,,
电影,Special Effects,特效,,,
电影,Series,故事集,,,
电影,Sale (limited time),限时降价,,,
